,NETosis_AIMS,Kynurenine_AIMS,Inflammasome_AIMS,Complement_AIMS,Metabolic_Stress_AIMS,Cytokine_Storm_AIMS,Angiogenesis_AIMS,Apoptosis_AIMS
GSM554014,0.3510465055740953,0.33487774763063743,1.01374679327371,-0.13905183755483533,0.01694486711194758,1.640718353717228,0.21707429357304547,-0.3287041325605393
GSM554015,0.09914357733440997,0.27554271076569276,0.3793981705167059,-0.3685757982465239,-0.3280653454778842,1.4242219423987692,0.6089930645051885,-0.1389075157655872
GSM554016,-0.2821227000840659,0.3987618597258338,0.619916153254708,0.3957120571905233,0.24917046097506695,0.9654384945360176,0.018951556139995662,0.2929870520575105
GSM554017,0.02645493966162233,-0.9760218850667115,-0.1306150802356899,-0.8181975164972332,-0.04931118305812758,0.3207555874869438,-0.37150709337196747,0.08017322011949515
GSM554018,-0.5196225096650474,-0.8890265585046497,-0.06486165195117974,-0.41553319336766237,-0.3169872347751123,-0.12945939358960334,-0.5365781412565794,0.09992620275726362
GSM554019,-1.0187915560940934,-0.015429874120663767,0.29300039402687883,0.18849273487074647,-0.45914997476572367,0.6223082783229328,-0.36796916969967586,0.17375257392697932
GSM554020,-0.49764058765190977,0.2508891044491808,0.0022037698505399314,0.24144403917895427,-0.23792906345041975,0.3299254051472135,0.0966883677443342,-0.29630258146110644
GSM554021,-0.8984899513760697,0.07410315008273724,-0.14500229986013172,-0.1995075909124857,-0.4896035162450045,-0.2681970856201261,-0.052907430784817855,-0.05511920444345503
GSM554022,-0.43366859360799526,-0.471352295772399,-0.11087124706822181,-0.039896715256042235,-0.035436753445654244,-0.28223445755324583,-0.33475488051087854,0.3276809755936996
GSM554023,-0.40648769162062226,-0.3630942187784035,-0.2689589061912143,0.07584020077544748,-0.32322733228039147,-0.8979035819434029,-0.1342340346357897,0.837093187132487
GSM554024,-0.024489228934569396,-0.009871465196007678,0.21109054971944005,0.4714228610452244,0.22676156420574534,-0.6350996115161784,0.1556082709672858,-0.17335855630349917
GSM554025,1.1860168187041713,0.4918620447585256,0.11438549310043424,1.1954653811488167,-0.06612106500325639,-0.39258496462073955,0.8135619678382129,0.48274000804244954
GSM554026,0.09507425297905814,-0.5111552935395189,-0.1524040205266472,-0.4777667492698707,0.2652527929054138,-0.5680593764299514,-0.06737061014804477,0.2519219691652086
GSM554027,-0.10567815650382005,-0.8493355039149528,-0.3059072907390361,-0.004296928559495152,0.1452822821943806,-0.8398049463212667,0.0596880640313812,0.4006448986191665
GSM554028,0.20036876256930272,0.35844419272782274,-0.15647528185841736,0.1938438035889619,0.27766477074747403,-0.7537506772334246,-0.6076786346955074,0.14934268219280739
GSM554029,-0.5477511816740945,0.021985772053394775,-0.6952803987484824,-0.31769767360254253,-0.08671150209963152,-0.6390563901052684,-0.13948604798369552,-0.00058194693554902
GSM554030,0.31748244960715055,-0.9585842365895906,-0.19576773121932362,0.5851936929100839,-0.12391291414102062,-0.97316189928129,-0.5270077019111141,0.15688597049799483
GSM554031,-0.12803452873263124,-0.3049090822636545,-0.6636222863819269,-0.4681794937610191,-0.4183538104747056,-0.7246893146450302,0.07365590015815626,0.031172252560136747
GSM554032,0.6061984975609442,-0.04869779085820802,-0.08674122174219051,0.04672946658277505,0.28444207520399417,-0.8511904270147308,-0.5364926963039894,0.5042773783831194
GSM554033,0.44981601397564336,0.24051688585512637,-0.41467587842103415,-0.0790354107612487,0.35545903198525647,-0.6871288501459825,-0.01688699315374035,0.05879635764123997
GSM554034,-0.02037936716740069,0.35926190748660025,-0.08173104892438161,0.4013799758379254,-0.15552984536055614,-0.15154072779350541,-0.1617044530431871,0.23230155271751268
GSM554035,-0.10611698759913407,0.6969298762061662,-0.04309284920101642,-0.04843740918005668,0.30246411954261276,-0.2499487008832373,0.6707652081819536,-0.4302289780387016
GSM554036,0.02924110787702252,0.20831208276583135,-0.555936720273412,0.0444998970572263,0.08603763211571257,-0.4379718118070366,0.7900858430399835,-0.8943572062528764
GSM554037,1.7784091985465422,0.8597877829654759,0.11230314550265236,0.9373131922941952,0.167493222395338,-0.11946614371103893,0.4240887610481788,0.016100043797782
GSM554038,-0.12700244120247878,-0.18287838489178687,-0.41616864951423027,-0.006670696542326139,0.15451483219815162,-0.5722898710539527,0.08912038529653257,0.11267700314228822
GSM554039,0.1360023717751994,-0.15067552673667883,0.028094715137610422,-0.38888443084212543,0.052744138816402615,-0.07885966180215367,-0.23893268372767065,-0.3934147255085936
GSM554040,0.1995395170766831,-0.014067724194573333,-0.4673240843294338,-0.1420152634249668,-0.4873067512377641,-0.15224214325248764,0.11207974676295664,-0.4441581245826775
GSM554041,-0.04871367986802385,-0.03649438227822177,-0.36748540747592195,0.4624607772316382,0.1397077061465426,-0.6503472301239375,0.5614425547755846,-0.1785106941360139
GSM554042,-1.0870224935162403,0.49490823230715686,-1.2133691629081709,-0.7266213709694777,-0.13078356309103972,-0.7550145825202408,0.1370612270894173,-0.5434257200959752
GSM554043,0.7619682925610178,0.5943191359748465,-0.20036994739696434,-0.07766235328019369,0.09355744816862645,-0.44025738914804924,0.25354202908307494,0.03842552521621227
GSM554044,-0.18362800473055593,0.5985990938483003,0.2810605046411171,-0.18558260684927336,-0.09664763476641205,1.4299522086747298,0.020430998466406496,-0.061619804554352564
GSM554045,0.0804884095231659,-0.2512534157246201,0.7523103264163188,0.20866390190571255,0.35265480884411476,1.2889184757943857,-0.14638863401006952,-0.08447315671289166
GSM554046,-0.63858070873761,-0.37736687245675216,0.2705450268259677,-0.6256202372066051,0.12223982966782407,0.8846567956941943,-0.557218502157048,0.22967424342609133
GSM554047,0.3650631221521531,-0.46507100247996513,0.7769783276134392,-0.22554605363812175,0.3010142660197441,0.2865397714101703,-0.5605540680020632,-0.02343784084933513
GSM554048,-0.15189376798996684,-0.12960039860768302,-0.023915944931086737,-0.11671271525995827,0.05651639660307422,-0.11101309574475793,-0.29123030106275266,0.26369821412185124
GSM554049,-0.3783461195582085,0.09813013786930039,0.443318520561341,-0.2250793293403015,-0.1082845370217854,1.182427806115709,-0.555290998818603,-0.6649717634495212
GSM554050,0.4621721409154714,-0.33769321884372844,1.1342407003062354,0.28708598281404657,0.4717552843534594,1.7373079803897746,0.033893030441989984,0.03779234426279801
GSM554051,0.04067258079468254,0.0019350713076166925,0.3238863824774128,0.6610096910083223,0.1180293214506084,0.30500659782139394,0.08624988350776036,0.5876529491268421
GSM554052,0.3038256984352227,0.3209364271546944,0.44547053656279023,0.01711371956609712,-0.09149142205640465,0.29464558153013787,-0.05205349370631971,0.08764859610788098
GSM554053,0.115475998691036,0.662475914883796,-0.44137239988923643,-0.31710000068434196,-0.23485340290059753,-0.3515509451789507,1.0332654163320947,-0.7417932489581484
