"","stroke_binary","NETosis","Kynurenine","Inflammasome","Complement","Metabolic_Stress","Cytokine_Storm","Angiogenesis","Apoptosis"
"ME7",0.00749228847516558,0.115995449790601,0.703326300992998,0.189451365016952,0.443201215973062,7.90129926336154e-05,0.972290730302929,0.560974221459477,0.76215062299537
"ME4",7.03283725771972e-09,7.99376083005145e-14,0.000300671814722153,1.43382906868561e-12,5.50689588803862e-07,4.42951328749304e-17,0.000511089324332882,0.000353000182740744,0.00444513171680348
"ME5",0.000335732829216813,0.000169965140048412,0.0129720300364599,3.73595090464509e-05,0.00140680498997814,1.66849623591837e-06,0.065937442153567,0.0210076077019305,0.217218444696773
"ME2",0.0322822361157538,0.643919996484014,0.244178741043362,0.658451072742955,0.145101955066649,1.53359454998371e-05,0.0938110213892878,0.178749404381291,0.00684593052879163
"ME1",0.341194433051103,4.14696497124806e-05,1.12710415891344e-39,3.11510135954245e-10,8.91560566492877e-34,0.0178915552019142,1.2287520780463e-32,2.1672801582237e-44,1.31367085592327e-32
"ME0",0.504446748442005,0.116339612004344,0.713244762791515,0.447164944114151,0.601393988163534,0.976129000528377,0.621975167326134,0.867294752806963,0.983945271347836
"ME8",0.00311235177085405,0.0480865961611708,0.609950093459792,0.0473229006570601,0.131856268204315,0.801127532294285,0.60910945572492,0.666944399325683,0.525649367682188
"ME3",7.56145784170167e-08,1.04975088171487e-21,0.0437679642486062,6.99878199847567e-13,7.97008865515215e-05,1.21343113988019e-06,0.0223558401642521,0.0396139306269783,0.0063324730398039
"ME6",8.1057613084898e-07,9.71520032531066e-05,0.0163263414879347,0.0581116570874724,0.468466382398375,0.000288641096124401,0.0765502513958448,0.0286097750923072,0.199176706010629
