,NETosis_AIMS,Kynurenine_AIMS,Inflammasome_AIMS,Complement_AIMS,Metabolic_Stress_AIMS,Cytokine_Storm_AIMS,Angiogenesis_AIMS,Apoptosis_AIMS
GSM922887,0.22258732881020893,0.34934741170947553,0.3067736321406826,0.2807755344978252,-0.07980088189630871,0.35317671278221274,-0.2259169040293533,0.3461253280980157
GSM922888,0.5399015221802023,-0.34444551975561566,-0.20898753244703983,-0.18646685934635587,0.16550924093900618,-0.29350611028254353,0.7184340009348652,0.03173771848499384
GSM922889,-0.10357595995553176,0.052230186438429305,-0.3178815586395416,-0.2254001433941106,-0.049990632594215524,0.1254553120695721,0.004764206740847071,-0.24419434261755454
GSM922890,0.3313686899516696,0.36767670532245195,0.24431564333181982,0.26065704462526373,-0.11976085571570709,0.18288456253551022,-0.17655489180839387,-0.2251494817610667
GSM922891,0.06661109851736076,0.010531539669335871,0.019655073156771827,-0.03805776809317547,0.25342616491427683,-0.19595342468406687,-0.49781329287657244,-0.18098025975958212
GSM922892,-0.1419166790822512,-0.025874534391518378,-0.19674703112676425,-0.04060992143739127,0.2731514453429544,-0.07019876630329935,-0.24734353925688626,-0.24807505162639656
GSM922893,-0.36267729410783633,-0.23670364261086554,-0.3911132924500166,-0.06405585672573043,0.34387330566263347,-0.2541713792095562,0.14877934881910887,-0.20416380216801397
GSM922894,0.41997757693822707,0.18104012822839194,0.9357164456746895,0.6501066120936171,0.1051992621979636,0.2770237440702425,0.06359742046354941,-0.27825688193842607
GSM922895,-0.28261268977582304,-0.2261803861817237,-0.2622432182960097,-0.07439817990602228,0.057504449617312665,-0.18607531714922898,0.0320403647259253,-0.35018415539789144
GSM922896,-0.10124333334807536,0.8752729162003567,-0.4050835062038921,0.26782809651109285,-0.043290593883788184,-0.22676264137265087,0.15166810508670447,-0.5950094739095044
GSM922897,-0.38940505214485954,0.15435721904284233,-0.12426143745186229,-0.16155815347670271,0.14388572462261529,0.05794106358330682,-0.22227891194742377,-0.394044045101865
GSM922898,0.12163483334353911,-0.28037925593987056,0.30301817108969376,0.03586160447428338,0.352902552679363,-0.28990719353557226,-0.015094435287542271,0.28611055058328727
GSM922899,-0.4433382152101527,0.23100547898810017,-0.5493939078895684,-0.5847206490565896,0.07729616321233607,-0.11785711469295826,-0.20914661430693504,0.33286299308453765
GSM922900,-0.46925062719093036,0.13816041713102595,-0.08130843964712178,-0.06676132041080965,0.491295001098717,-0.09027825523292815,-0.05811929043893128,-0.3216379939883174
GSM922901,-0.5190774241873266,0.6973927657967623,-0.1319603345167706,0.36335427645613877,-0.15568856084306568,0.053829796513129816,-0.1685053789691987,-0.01854247853631047
GSM922902,-0.3205159902295015,0.02776713621903562,-0.03049521989426061,-0.3367131792416632,-0.1646160793169387,0.13652184622375357,0.16823051645919868,-0.0454576045416392
GSM922903,-0.22806516184250258,-0.027938655336525432,-0.0978963720304397,0.0902791012866741,-0.3201690654128361,0.44955897835672254,-0.08133912338895152,-0.038428396481161864
GSM922904,0.23123583816327692,-0.17563639157928837,-0.08029617264802112,-0.0018142270970925994,-0.07826436270444517,0.12899866184484132,0.16953488591300703,-0.07164290145471647
GSM922905,-0.6729656070487908,-0.3276275923242763,0.10609943494138013,0.5648580068419033,-0.5282169386742798,0.6635488462704534,-0.04151391222848043,0.4146502964740806
GSM922906,0.2988281756357997,0.3204698378516173,0.1487364015636653,-0.16923216282147469,-0.3060706279649527,-0.16958204267757954,0.41248465403909684,-0.050161615830873536
GSM922907,0.31710605724581997,0.11695252739922224,0.09936795715191123,0.15349249163489284,-0.5419280804312693,-0.28591797203566693,0.066448624167843,0.07372783143975455
GSM922908,-1.0066902316591446,-0.39124604963288767,-0.3587786892957935,-0.40782322142770566,-0.3137780573301538,-0.06395454895064583,-0.3744650817319794,0.06067190803961783
GSM922909,0.3011249682384264,-0.5614042368765633,0.1470802198153183,-0.014756552126688981,-0.416686764081741,-7.488464198940337e-05,-0.15175172828780387,0.32435614945141145
GSM922910,1.3747673984213487,0.15483076008053795,0.24242491170052372,0.9609217736072275,-0.16533854280655857,-0.56365362242647,0.4619317290152634,0.510181618040857
GSM922911,-0.5876097937770879,-0.2643508546283946,-0.16614176261362748,-0.023109846087527502,0.030660683918276727,0.13828817816753905,0.3740101906096774,-0.2612769482482339
GSM922912,0.3550179244442523,-0.23787228927930815,-0.39780151992801666,-0.2930148629315168,-0.17791652787934617,-0.014761605508653283,0.129323223485211,0.5943763553922441
GSM922913,1.5905375745154096,-0.0195025746471556,0.2831641031247741,0.49247893160514655,-0.023413040840835925,-0.04461573377416193,0.011849359010305831,0.2095209210592702
GSM922914,0.3397045820182253,-0.8234732254568391,-0.012035448634544046,-0.09869704315397688,-0.12804157642558034,-0.14423087658121975,-0.432330489475875,-0.21232854900110845
