Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557),9/82,1.4811736829964728e-05,0.0019152117899222,0,0,6.973948847889777,77.55094346364122,ORM1;IFNGR1;STAT3;LY96;CD14;JAK2;TLR4;THBS1;TLR2
GO_Biological_Process_2023,Toll-Like Receptor Signaling Pathway (GO:0002224),6/31,1.516945554155156e-05,0.0019152117899222,0,0,13.492263610315186,149.71321511876866,LY96;IRAK3;TLR5;TLR4;CTSS;TLR2
GO_Biological_Process_2023,Epithelial Cell Migration (GO:0010631),7/46,1.5439030954633214e-05,0.0019152117899222,0,0,10.112142646625406,112.02850261907544,LRG1;ROCK1;STAT1;DAAM2;CYP1B1;S100A12;PKN2
GO_Biological_Process_2023,Regulation Of Tumor Necrosis Factor Production (GO:0032680),11/127,1.6752301977511103e-05,0.001979164819343,0,0,5.383395148356055,59.20106120289589,ORM1;IFNGR1;STAT3;LY96;IRAK3;BPI;CD14;JAK2;TLR4;THBS1;TLR2
GO_Biological_Process_2023,Regulation Of Angiogenesis (GO:0045765),14/205,1.89630211021099e-05,0.0021385116070152,0,0,4.181664645099875,45.46732220296866,GRN;ROCK1;ANXA3;STAT1;SEMA3E;KLF4;HIF1A;THBS1;HK2;PIK3CG;CEACAM1;LRG1;CYP1B1;EMILIN2
GO_Biological_Process_2023,Microglial Cell Activation (GO:0001774),5/20,2.1324417465416827e-05,0.0022448911291631,0,0,18.695238095238096,201.0795831042487,GRN;ITGAM;IFNGR1;C5AR1;JAK2
GO_Biological_Process_2023,Positive Regulation Of Response To External Stimulus (GO:0032103),12/155,2.171599641270246e-05,0.0022448911291631,0,0,4.771228771228771,51.230884795573886,LGALS2;PLSCR1;GRN;LY96;S100A12;EMILIN2;F2RL1;ADAM8;CD1D;TLR4;THBS1;TLR2
GO_Biological_Process_2023,Regulation Of Viral Genome Replication (GO:0045069),8/67,2.385326039705516e-05,0.0023671975618037,0,0,7.653397157231476,81.4596187370933,PLSCR1;RNASEL;RSAD2;STAU1;EIF2AK2;PKN2;APOBEC3A;SRPK1
GO_Biological_Process_2023,Response To Lipid (GO:0033993),10/110,2.6614100953950697e-05,0.0025395994025673,0,0,5.665217391304348,59.6777930051102,SLC11A1;STAT3;HMGB2;PELI1;LY96;ALPL;IRAK3;TRIB1;JAK2;TLR4
GO_Biological_Process_2023,Positive Regulation Of Cell Migration (GO:0030335),16/272,3.11115895940483e-05,0.0028588093993642,0,0,3.5746681415929205,37.09765629160675,SEMA4A;GRN;STAT3;SEMA3E;HIF1A;THBS1;CXCL16;PPP3CA;SDCBP;PAK1;DAAM2;CEACAM6;MYADM;NUMB;F2RL1;S100A11
