gene,log2FC,t_stat,p_value,case_mean,ctrl_mean,p_adj
APOBEC3C,-0.23101850000000113,-3.563017762148366,0.0010130055874286556,9.148895999999999,9.3799145,0.2090473860600033
BCAP31,-0.12781050000000072,-3.6601479480551706,0.0008119269144036061,10.007227499999997,10.135037999999998,0.2090473860600033
CBX2,0.08420074999999994,3.5255038307967395,0.0011493040504880435,5.16114,5.07693925,0.2090473860600033
RNF17,0.10856619999999984,4.112879949957271,0.00020836240258675573,3.2048875000000003,3.0963213000000005,0.2090473860600033
PSMB3,-0.198109999999998,-4.1002861364194025,0.00024152913738291915,10.787405000000001,10.985515,0.2090473860600033
RASL11A,0.19714450000000028,3.890067343925325,0.00040010059497077335,4.7860895,4.588945,0.2090473860600033
B3GNT6,0.13647849999999906,3.5347238526916187,0.0010996922132710239,5.051722,4.915243500000001,0.2090473860600033
CALCA,0.10223862500000003,3.6276871706546854,0.0008383165803404121,4.11879475,4.016556125,0.2090473860600033
PHF11,-0.2010882500000024,-3.960913314006907,0.0003180487986166009,7.376371999999999,7.5774602500000015,0.2090473860600033
TBL1X,-0.18812225000000016,-3.86231882251982,0.0004592841224792636,6.556707083333333,6.744829333333334,0.2090473860600033
COX15,-0.18929150000000128,-3.7915126504238317,0.0005228733040927682,6.808036999999999,6.9973285,0.2090473860600033
GPBP1L1,-0.1504574999999999,-3.8664780779077956,0.00042346653100432975,8.117561499999999,8.268018999999999,0.2090473860600033
ACTN2,0.10538012499999949,3.6329794589503965,0.000939445471921004,3.861072375,3.7556922500000005,0.2090473860600033
ADAR,-0.16077999999999903,-3.9580619967518142,0.00033420192659624906,10.84564,11.006419999999999,0.2090473860600033
CNTNAP5,0.12622233333333321,3.8167991336327227,0.0004885443876245706,3.5121045000000004,3.385882166666667,0.2090473860600033
ZDHHC2,0.09668166666666611,3.774158514690977,0.0005701927284385862,5.273345,5.176663333333334,0.2090473860600033
MRPS10,-0.24220666666666624,-3.5376093740543486,0.0010834823950052245,7.400127166666668,7.642333833333335,0.2090473860600033
FOXRED1,-0.22392849999999775,-3.648708820806214,0.0008030358230646708,6.572243,6.796171499999998,0.2090473860600033
CA9,0.1920004999999998,3.683955097733941,0.0007522485408574102,5.609662500000001,5.417662000000001,0.2090473860600033
GJB3,0.1063973333333319,3.5572557402069145,0.0010321872716512331,5.091636499999999,4.985239166666667,0.2090473860600033
CABP4,0.1283251666666665,3.940166623672476,0.0003387754981334315,5.908515166666667,5.78019,0.2090473860600033
TMEM107,0.5482935000000007,3.8648314484762136,0.0004255027492551022,6.7791838,6.2308902999999995,0.2090473860600033
ATP2A1,0.108899249999999,3.538850882306258,0.0011128755870429452,3.9620144999999996,3.8531152500000005,0.2090473860600033
TRIM46,0.15743175000000065,3.6023130678279456,0.0009017726339680831,4.8545007500000015,4.697069000000001,0.2090473860600033
STT3A,-0.36021949999999947,-3.718951783822453,0.0006446823403582733,6.424348500000001,6.784568,0.2090473860600033
PDIA4,-0.21230950000000082,-3.5372306606560184,0.001145086633472245,7.553745999999999,7.7660555,0.2090473860600033
KLF15,0.13810400000000023,3.795740812829324,0.0005438011328882324,6.03491975,5.89681575,0.2090473860600033
KLK15,0.10606387499999848,3.5995612622730646,0.0009847537472892536,4.68624775,4.580183875000001,0.2090473860600033
CCKAR,0.13609074999999926,3.6661946002212287,0.0007828147977572039,5.478329749999999,5.342239,0.2090473860600033
LSM12,-0.2673506666666654,-3.7773192680896424,0.0005937051211479522,6.095367000000001,6.362717666666667,0.2090473860600033
LCN6,0.1639090000000003,3.6316762149221335,0.0008381609107415168,4.4601690000000005,4.29626,0.2090473860600033
CAMK1G,0.16740075000000143,4.0148961067297115,0.0002775442428265253,4.521667250000001,4.3542665,0.2090473860600033
WDFY1,-0.2308887499999983,-3.6831357569222734,0.0007140256727489139,7.9779522499999995,8.208840999999998,0.2090473860600033
DNAJC17,-0.27109949999999916,-4.530014144090595,6.641851874745845e-05,5.638771,5.909870499999999,0.2090473860600033
RND2,0.12894600000000045,3.679459084968556,0.0007325016028538374,3.9089495000000007,3.7800035000000003,0.2090473860600033
TRAPPC5,-0.23438849999999967,-3.5401400295848,0.001076578767018183,9.223038,9.4574265,0.2090473860600033
SNRPD3,-0.14273050000000076,-3.7352358131230337,0.0006145924953953498,9.993882999999999,10.1366135,0.2090473860600033
ARHGAP17,-0.18465250000000033,-3.7531343549620133,0.0006724405995393938,9.069704,9.2543565,0.2090473860600033
PANX2,0.1156351666666664,3.93036238775949,0.000347097473500307,5.779898833333333,5.664263666666667,0.2090473860600033
RDH16,0.18837949999999992,3.555066120716458,0.0010665352536420472,4.759601,4.5712215,0.2090473860600033
DLD,-0.1647930000000013,-3.8278162813081273,0.0004810423665395673,8.08358625,8.248379250000001,0.2090473860600033
WWC1,0.10305492857142884,3.597094714261544,0.0009162398941144382,4.1643833571428575,4.061328428571429,0.2090473860600033
GOSR2,-0.1483377777777779,-4.510340354946732,7.271669726314026e-05,5.900013888888889,6.048351666666667,0.2090473860600033
ACSL3,-0.2347425999999997,-3.7156724155086263,0.000742486296504146,6.0845985,6.3193411,0.2090473860600033
PSCA,0.17011549999999964,3.630166319449381,0.0008342400970650068,3.5475389999999996,3.3774235,0.2090473860600033
