"Power","SFT.R.sq","mean.k","median.k"
1,0.792040673510473,2.18889714516671,0.963932945616384
2,0.095519779504909,0.251832699937043,0.422389471804801
3,0.331567508421249,-0.494425547344762,0.190486734987887
4,0.544519302415378,-0.777473703354477,0.439938739926003
5,0.602173459846052,-0.895800169874559,0.622673366949131
6,0.615084567441146,-0.919092508826056,0.731604638029395
7,0.613401163072079,-0.926899186305041,0.756989482608581
8,0.642042494739723,-0.901945612265709,0.77881664894246
9,0.625162180808663,-0.892406801582728,0.736618015141943
10,0.640689833380142,-0.877745000930609,0.730554555239546
11,0.64872604498571,-0.868046598304894,0.698766307639949
12,0.643471440032287,-0.864441521180246,0.665326539047659
13,0.656962169155382,-0.865338030630331,0.650713063095566
14,0.674184862466506,-0.861687585672607,0.638969306766487
15,0.687600588107578,-0.858296072404575,0.633059877576467
16,0.691175539647097,-0.861525145675297,0.621084076568872
17,0.697208917036807,-0.865591938651568,0.622737485801325
18,0.704852040942344,-0.869878207319212,0.625925666598604
19,0.713418889170189,-0.879931045857161,0.632701286272964
20,0.716553534120601,-0.882357065455994,0.635578582297759
22,0.735467305026351,-0.889773110876294,0.663029685188006
24,0.737626142938025,-0.909440909387543,0.674041760218554
26,0.727809182327937,-0.939438343157159,0.683046623992478
28,0.743601164648362,-0.951327131408674,0.717091373587409
30,0.749825180323092,-0.972116761027033,0.746884590877498
