"","stroke_binary","NETosis","Kynurenine","Inflammasome","Complement","Metabolic_Stress","Cytokine_Storm","Angiogenesis","Apoptosis"
"ME7",-0.333867982792574,-0.200027408378858,-0.0489316917894179,-0.167505607343131,-0.0983423341306755,-0.476460717078696,0.00446565403405666,-0.074641283351134,0.0388957590955316
"ME4",-0.652153470493045,-0.776019401105408,-0.44069148607177,-0.750446777027857,-0.582448213605633,-0.829612470010831,-0.425322976695471,-0.436119629854491,-0.353813581964876
"ME5",-0.437555607334533,-0.456443681978363,-0.311431364734181,-0.494904089901639,-0.393806698721401,-0.56172427670295,-0.2331379776364,-0.290282958816257,-0.157646715666935
"ME2",0.270101361075235,0.0593723832008116,-0.148888445064884,0.0567855560374958,-0.185689006730728,0.515531840923986,-0.212944632045125,-0.171582187645605,-0.33740620820763
"ME1",0.121909695735134,0.492396577528116,0.971130622006682,0.692940778300564,0.954580107675708,0.297490366615744,0.950401353819492,0.979861989067515,0.950289906714744
"ME0",0.0856588313014595,0.199842656081971,-0.047220620819942,0.0974937216650611,0.0670849812594763,-0.00384687995807861,-0.0633244985093692,-0.0214797878845115,-0.00258705932689363
"ME8",0.366745157981326,0.250064119873812,-0.0655150043442996,0.250896314764415,0.191915289109901,-0.0323749122184686,0.0656688277291,-0.0552839870511685,0.0814579470758347
"ME3",0.616305269210728,0.883010544788752,0.254921712301604,0.757103306879583,0.476240976251465,0.567824547440173,0.287443846315223,0.259982108768962,0.340432041580074
"ME6",0.575381147420165,0.471180750811717,-0.301524811992767,0.240032912050519,-0.0930025987358443,0.44184486438851,-0.224769177304314,-0.275913630784532,-0.163942253300368
