"","kTotal","kWithin","kOut","kDiff"
"1",148.025244292352,124.39934277582,23.625901516532,100.773441259288
"2",18.1640798310795,0.224850201023645,17.9392296300558,-17.7143794290322
"3",350.595254581493,264.809552796748,85.7857017847458,179.023851012002
"4",375.806601690192,242.453783350659,133.352818339533,109.100965011126
"5",15.5366912726001,0.152338664526672,15.3843526080734,-15.2320139435467
"6",40.2976336785263,1.84845287032278,38.4491808082035,-36.6007279378807
"7",68.6134905100112,1.33956983120394,67.2739206788073,-65.9343508476033
"8",2.6158740712719,0.0478438644299358,2.56803020684197,-2.52018634241203
"9",226.967660801634,197.857799530028,29.1098612716056,168.747938258423
"10",481.315817067009,453.739700681663,27.5761163853462,426.163584296317
"11",38.9243853793492,1.27068656019965,37.6536988191496,-36.3830122589499
"12",465.048655892129,434.711603453774,30.3370524383548,404.374551015419
"13",320.287181187424,241.959940847886,78.3272403395379,163.632700508348
"14",342.673469169026,235.906307215368,106.767161953657,129.139145261711
"15",135.425360011649,108.014159394869,27.41120061678,80.6029587780891
"16",500.497879402488,465.346655268202,35.1512241342861,430.195431133916
"17",316.838678865765,234.256734424897,82.5819444408685,151.674789984028
"18",442.334169216731,413.765703857331,28.5684653593997,385.197238497931
"19",52.0867670635242,1.88519115102018,50.201575912504,-48.3163847614838
"20",319.465143745212,237.551125157988,81.9140185872243,155.637106570764
"21",16.0841778865848,9.00513897663593,7.07903890994891,1.92610006668702
"22",363.181541197623,338.771914045335,24.4096271522882,314.362286893047
"23",72.3260679386134,31.2376033714189,41.0884645671945,-9.85086119577563
"24",260.096222904536,188.786969844241,71.3092530602951,117.477716783946
"25",270.639742104308,208.084559647615,62.5551824566931,145.529377190922
"26",17.2681340077019,8.49734919051452,8.77078481718735,-0.273435626672832
"27",254.034151127839,168.441631843637,85.592519284202,82.8491125594345
"28",440.515261488316,407.575829693157,32.9394317951597,374.636397897997
"29",356.277235644252,270.865419981904,85.4118156623481,185.453604319556
"30",329.156608937371,245.422072772815,83.7345361645561,161.687536608259
"31",463.469964647617,422.674334898206,40.7956297494115,381.878705148794
"32",316.21917181148,205.36266088605,110.856510925429,94.5061499606209
"33",327.591114120281,225.351264632922,102.239849487359,123.111415145563
"34",103.030960724599,46.333317881372,56.6976428432265,-10.3643249618545
"35",85.3430765555344,15.9030114224096,69.4400651331248,-53.5370537107152
"36",312.687887920624,200.737785446155,111.950102474469,88.7876829716865
"37",380.148957389242,352.276274284085,27.8726831051564,324.403591178929
"38",311.127297103708,227.384928533715,83.7423685699934,143.642559963721
"39",57.89933937758,1.5337628402161,56.3655765373639,-54.8318136971478
"40",387.569091559068,269.049507388352,118.519584170716,150.529923217636
"41",300.573477390194,225.91851445577,74.6549629344238,151.263551521346
"42",625.671231614346,581.430340891435,44.2408907229113,537.189450168524
"43",42.7952069869694,3.5761545505222,39.2190524364472,-35.642897885925
"44",531.634352155458,495.785199842198,35.8491523132605,459.936047528937
"45",103.963004796452,35.2936180024218,68.6693867940299,-33.375768791608
"46",47.5975836167002,7.52453668727432,40.0730469294259,-32.5485102421516
"47",183.368588585993,131.083429951102,52.285158634891,78.7982713162112
"48",314.292900263671,216.773915111099,97.5189851525715,119.254929958527
"49",400.330038761838,384.261010265824,16.0690284960144,368.19198176981
"50",323.230379132723,233.655027071919,89.5753520608035,144.079675011116
"51",18.4484527338066,0.455753764190644,17.9926989696159,-17.5369452054253
"52",326.749020097322,248.672182881624,78.0768372156981,170.595345665926
"53",313.038744302146,227.730914805417,85.3078294967281,142.423085308689
"54",510.679795914348,479.573394531117,31.1064013832311,448.466993147886
"55",170.487083781708,144.447091347467,26.0399924342413,118.407098913225
"56",14.2764315304578,7.73028820522772,6.54614332523012,1.1841448799976
"57",337.414051718577,232.686477382838,104.727574335739,127.958903047099
"58",361.583594394357,253.537587696992,108.046006697365,145.491580999626
"59",44.5454042772606,17.5570070945801,26.9883971826805,-9.4313900881004
"60",207.305456403572,166.039207040232,41.2662493633404,124.772957676891
"61",315.577128213671,227.369219700581,88.2079085130898,139.161311187492
"62",519.117612609342,477.631401266735,41.4862113426067,436.145189924128
"63",172.914269058467,118.10448926815,54.8097797903173,63.2947094778325
"64",465.168586796225,447.915943414293,17.2526433819326,430.66330003236
"65",156.480044092238,116.604161561252,39.8758825309859,76.728279030266
"66",272.338601866975,204.407442201182,67.9311596657923,136.47628253539
"67",464.880463080244,442.509715582504,22.3707474977406,420.138968084763
"68",58.6271975211436,8.7544860591859,49.8727114619577,-41.1182254027718
"69",381.058688052382,357.720429124648,23.3382589277347,334.382170196913
"70",137.299649070228,98.0873239008647,39.2123251693633,58.8749987315014
"71",128.862204245545,62.5977121242591,66.2644921212858,-3.66677999702668
"72",460.391388234873,441.855547257117,18.5358409777562,423.319706279361
"73",26.3628460243446,1.65155808370064,24.7112879406439,-23.0597298569433
"74",203.613204305165,153.792209532472,49.820994772693,103.971214759779
"75",104.199763935859,77.8272703733284,26.3724935625308,51.4547768107976
"76",312.968069618633,230.430203281387,82.537866337246,147.892336944141
"77",355.454893893266,330.681728708409,24.773165184857,305.908563523552
"78",249.214143834319,162.867468391534,86.3466754427853,76.5207929487488
"79",445.661953855015,401.143500118663,44.5184537363521,356.625046382311
"80",439.435060048574,405.158563309687,34.2764967388869,370.8820665708
"81",241.841200149216,157.031441363104,84.8097587861116,72.2216825769923
"82",293.277274188562,223.108097416194,70.1691767723685,152.938920643825
"83",288.797067738639,205.730479121023,83.066588617616,122.663890503407
"84",409.008771427912,394.114070326946,14.8947011009653,379.219369225981
"85",244.209410479765,149.536765899426,94.6726445803391,54.8641213190867
"86",317.248522971363,220.297466645719,96.9510563256437,123.346410320075
"87",30.1796129228434,0.285191395786428,29.894421527057,-29.6092301312705
"88",431.03727253801,397.380330491565,33.6569420464448,363.72338844512
"89",317.465301873923,223.785578596266,93.6797232776572,130.105855318609
"90",320.435163575541,222.17817447097,98.2569891045717,123.921185366398
"91",273.04352695764,192.035943982566,81.0075829750738,111.028361007492
"92",325.537800256959,227.905723040919,97.6320772160399,130.273645824879
"93",205.013484289109,136.589374908629,68.42410938048,68.1652655281487
"94",359.928566974533,325.874144813263,34.0544221612697,291.819722651993
"95",24.4742881642147,6.68155071973474,17.7927374444799,-11.1111867247452
"96",212.527998648309,80.110184609834,132.417814038475,-52.3076294286413
"97",312.085746735504,209.234903394744,102.85084334076,106.384060053983
"98",57.570429400773,7.68332856537741,49.8871008353956,-42.2037722700182
"99",244.513063661282,189.394084215564,55.1189794457182,134.275104769846
"100",320.05124471364,242.430294431521,77.6209502821191,164.809344149402
"101",363.942367219432,173.640693823908,190.301673395524,-16.6609795716159
"102",304.02809636901,203.172396335933,100.855700033077,102.316696302856
"103",279.114252882883,257.582890292579,21.5313625903037,236.051527702275
"104",558.83529294963,516.223964187633,42.6113287619972,473.612635425636
"105",370.906628418085,189.520818701424,181.385809716662,8.13500898476229
"106",305.432841603689,210.688731581873,94.7441100218157,115.944621560057
"107",327.619744474944,248.666290461979,78.9534540129644,169.712836449015
"108",28.8182903652315,6.1768889687359,22.6414013964956,-16.4645124277597
"109",63.1547337417134,6.74194761748026,56.4127861242332,-49.6708385067529
"110",137.454816490056,114.143600597033,23.3112158930237,90.832384704009
"111",333.519507227889,242.458468564589,91.0610386632997,151.397429901289
"112",471.95876773021,452.765153148864,19.193614581346,433.571538567518
"113",284.344941285612,258.536394606482,25.8085466791298,232.727847927353
"114",18.3114521703925,8.62884747989585,9.68260469049668,-1.05375721060084
"115",198.494724529062,173.573660056645,24.9210644724164,148.652595584229
"116",247.938457096808,233.975059319194,13.9633977776142,220.01166154158
"117",327.85190203488,230.096168134673,97.7557339002069,132.340434234466
"118",307.26325645491,217.339255128299,89.9240013266107,127.415253801688
"119",310.169060923937,217.970547865355,92.1985130585819,125.772034806773
"120",97.1673333688697,76.8185511931394,20.3487821757304,56.469769017409
"121",248.700126802552,232.999257939054,15.700868863498,217.298389075556
"122",303.759008867372,212.880897449596,90.8781114177755,122.002786031821
"123",80.9884430914047,8.4896417230415,72.4988013683632,-64.0091596453217
"124",159.134589860666,128.232378685715,30.9022111749515,97.3301675107634
"125",295.691175285217,210.20272996082,85.4884453243965,124.714284636424
"126",22.6664569823834,8.39725100483455,14.2692059775488,-5.87195497271426
"127",323.33566860269,289.060201319561,34.275467283129,254.784734036432
"128",298.265581139027,231.14423818774,67.121342951287,164.022895236453
"129",15.185878475099,7.53862231843252,7.64725615666652,-0.108633838233999
"130",359.731256811202,267.204814692791,92.5264421184114,174.67837257438
"131",302.242777620011,182.504589611354,119.738188008656,62.7664016026978
"132",189.129557527936,53.9711882062475,135.158369321688,-81.1871811154405
"133",300.978509787777,213.090795718116,87.8877140696614,125.203081648455
"134",143.051458772395,128.048758150195,15.0027006221995,113.046057527996
"135",304.564522328128,203.488112792985,101.076409535142,102.411703257843
"136",99.0343933932892,24.5043059572096,74.5300874360796,-50.02578147887
"137",7.20689845608566,0.711346308614958,6.49555214747071,-5.78420583885575
"138",349.263674457786,255.144957359603,94.1187170981827,161.02624026142
"139",150.162753039356,97.6822021507821,52.4805508885742,45.2016512622079
"140",17.2944840732242,0.311342761177064,16.9831413120471,-16.6717985508701
"141",294.469983692318,204.705855809292,89.764127883026,114.941727926266
"142",110.895144576165,88.9866475412144,21.9084970349508,67.0781505062636
"143",216.294167757148,60.9062580204071,155.387909736741,-94.4816517163341
"144",502.285149248128,450.020893917396,52.2642553307314,397.756638586665
"145",85.8421052269552,17.8629455628897,67.9791596640654,-50.1162141011757
"146",174.835127525104,123.005678396099,51.8294491290049,71.1762292670944
"147",64.3127326122939,28.2133363750957,36.0993962371982,-7.88605986210243
"148",122.149851421966,32.3542593054699,89.7955921164962,-57.4413328110262
"149",125.979199515814,28.4877712974218,97.4914282183927,-69.0036569209709
"150",138.390747009767,46.9144499987767,91.47629701099,-44.5618470122133
"151",312.333727233616,115.12655329719,197.207173936426,-82.0806206392354
"152",256.454674129747,237.744278543842,18.7103955859046,219.033882957938
"153",27.1648026552409,2.82287686165084,24.34192579359,-21.5190489319392
"154",449.033477588985,421.91110456659,27.1223730223953,394.788731544195
"155",256.250369832697,186.42497113761,69.825398695088,116.599572442522
"156",457.847965932443,443.583290690326,14.2646752421172,429.318615448209
"157",74.9425892072933,33.2000648379218,41.7425243693715,-8.54245953144977
"158",373.396580717741,281.651027625018,91.7455530927229,189.905474532295
"159",294.423042417636,85.0758765213833,209.347165896253,-124.271289374869
"160",74.4548847412199,40.7980499277078,33.6568348135121,7.14121511419566
"161",319.692298490155,231.764678738997,87.9276197511581,143.837058987839
"162",383.261241454844,348.125433680727,35.1358077741168,312.989625906611
"163",65.870482776687,1.41092158608765,64.4595611905994,-63.0486396045117
"164",150.802035164589,15.8186460982603,134.983389066329,-119.164742968069
"165",133.415045870553,84.5283894571673,48.8866564133859,35.6417330437814
"166",458.347576074307,426.003136161074,32.3444399132334,393.65869624784
"167",383.716703177662,371.537742718399,12.1789604592627,359.358782259137
"168",336.242537300748,252.863223951573,83.3793133491755,169.483910602397
"169",453.419034813196,425.136471946508,28.2825628666881,396.85390907982
"170",391.555723707274,366.378721593719,25.1770021135547,341.201719480164
"171",348.469733967255,264.862689249317,83.6070447179373,181.25564453138
"172",135.897950927426,69.9899290466236,65.9080218808027,4.08190716582089
"173",532.489823162951,500.45686831,32.0329548529506,468.423913457049
"174",447.170638717123,420.60801191772,26.5626267994026,394.045385118317
"175",24.9890387243114,6.47573147789205,18.5133072464193,-12.0375757685273
"176",344.454211793799,235.859668250713,108.594543543086,127.265124707627
"177",274.230517383485,191.899913417165,82.3306039663198,109.569309450845
"178",107.333371149536,0.172228184562117,107.161142964974,-106.988914780412
"179",324.746630054556,317.637005144023,7.10962491053351,310.527380233489
"180",283.611029997967,212.301923179861,71.3091068181057,140.992816361755
"181",267.506716108964,165.126608581547,102.380107527417,62.7465010541297
"182",477.265610716353,425.240917613679,52.0246931026735,373.216224511006
"183",356.016408038584,244.869448437364,111.146959601219,133.722488836145
"184",107.267303417093,26.1159145225566,81.1513888945364,-55.0354743719797
"185",312.081297214236,216.791727179667,95.2895700345688,121.502157145098
"186",33.4391840334461,1.05080588669564,32.3883781467504,-31.3375722600548
"187",39.6642148175541,20.4384388704739,19.2257759470801,1.21266292339379
"188",302.509052533105,196.365501768426,106.14355076468,90.2219510037459
"189",312.401068696151,221.570277599336,90.8307910968143,130.739486502522
"190",353.212906116191,253.227778256405,99.9851278597857,153.242650396619
"191",292.249549638528,209.946215620687,82.3033340178412,127.642881602845
"192",284.928777110187,191.549992955034,93.3787841551528,98.1712087998812
"193",128.139816252226,69.0270168945622,59.1127993576641,9.91421753689809
"194",491.067607411712,465.2215207414,25.8460866703123,439.375434071088
"195",495.636507718048,467.614520409539,28.021987308509,439.59253310103
"196",362.5828086444,178.354742861313,184.228065783088,-5.87332292177507
"197",126.650798468321,95.2648881698678,31.3859102984533,63.8789778714145
"198",477.742709872005,455.811936788493,21.9307730835122,433.881163704981
"199",89.4978666691338,37.6644080171105,51.8334586520232,-14.1690506349127
"200",73.2321788412829,32.2192989075874,41.0128799336956,-8.7935810261082
"201",320.924104164109,94.0709731387233,226.853131025386,-132.782157886663
"202",70.8677316481029,18.8319531728677,52.0357784752352,-33.2038253023675
"203",50.2074364150229,0.817982340240658,49.3894540747822,-48.5714717345416
"204",178.434607279923,158.123110520974,20.3114967589483,137.811613762026
"205",157.985624790503,116.132265717531,41.8533590729726,74.278906644558
"206",294.01369905453,267.247208007495,26.766491047035,240.48071696046
"207",42.4820934911692,8.29952294841199,34.1825705427572,-25.8830475943452
"208",340.319718025377,253.937834052567,86.3818839728106,167.555950079756
"209",306.843107995117,204.219492166652,102.623615828465,101.595876338186
"210",143.664844094121,86.8217064282035,56.8431376659178,29.9785687622857
"211",358.382765680674,266.603110812684,91.77965486799,174.823455944694
"212",482.063502442055,447.035104851285,35.02839759077,412.006707260515
"213",182.181678760303,164.222241804064,17.959436956239,146.262804847825
"214",319.342338788608,237.828066289519,81.5142724990887,156.31379379043
"215",2.94306702997239,0.504370285194553,2.43869674477783,-1.93432645958328
"216",287.574494616807,202.826898045009,84.7475965717981,118.079301473211
"217",429.322723863191,398.966844219369,30.3558796438214,368.610964575548
"218",128.272393217762,33.9626685677405,94.3097246500212,-60.3470560822807
"219",10.6570745173707,0.692572595241204,9.96450192212954,-9.27192932688833
"220",94.0830024384053,0.885940224754525,93.1970622136508,-92.3111219888962
"221",397.87821875407,363.963606847634,33.914611906435,330.048994941199
"222",314.994781666976,239.996892522305,74.9978891446715,164.999003377633
