"","GSM416528","GSM416529","GSM416530","GSM416531","GSM416532","GSM416533","GSM416534","GSM416535","GSM416536","GSM416537","GSM416538","GSM416539","GSM416540","GSM416541","GSM416542","GSM416543","GSM416544","GSM416545","GSM416546","GSM416547","GSM416548","GSM416549","GSM416550","GSM416551","GSM416552","GSM416553","GSM416554","GSM416555","GSM416556","GSM416557","GSM416558","GSM416559","GSM416560","GSM416561","GSM416562","GSM416563","GSM416564","GSM416565","GSM416566","GSM416567","GSM416568","GSM416569","GSM416570","GSM416571","GSM416572","GSM416573","GSM416574","GSM416575","GSM416576","GSM416577","GSM416578","GSM416579","GSM416580","GSM416581","GSM416582","GSM416583","GSM416584","GSM416585","GSM416586","GSM416587","GSM416588","GSM416589","GSM416590"
"GSM416528",0.5,0.0112124105890244,0.0141619240736213,0.017439749472358,0.00848558740214491,0.00541250969239941,0.00378777027465678,0.0111558417131692,0.00222970404059034,0.0069849385422169,0.0149030456152351,0.0104864760844556,0.0027193476677827,0.00591707572626357,0.00232856593207152,0.00498365940941473,0.00243636327726145,0.00850459398304637,0.00837399381445951,0.0142692418980167,0.0126618083871536,0.00547791658163019,0.0163812081908402,0.0169295999696836,0.00205243941823831,0.0172453246051587,0.013809802357234,0.0104742766363154,0.00743114149681576,0.00752550665545279,0.0173801790902892,0.010717927260783,0.0229951395274053,0.0207491090463596,0.00627103302282167,0.00808455761927384,0.0109334284652515,0.0116679342977345,0.00724213341387507,0.0142240974044192,0.00685708901511724,0.00282830438881266,0.0124428341506081,0.0016557439127053,0.00209351360034763,0.00163744821726876,0.0016900927048396,0.00171713278107763,0.00239236242195787,0.00375298602172364,0.0089897007637459,0.0135140299304145,0.00602565443397845,0.00497863097797774,0.00348221608563092,0.00316799869009549,0.00882720874769717,0.00737674233174663,0.00277275055355472,0.00210522833067356,0.00303663366004513,0.00311894930312385,0.00236189002315994
"GSM416529",0.0112124105890244,0.5,0.0362834765051208,0.0222135668910326,0.00681969873440863,0.00202838237306424,0.0054644749523918,0.00904883227211059,0.00170565361410996,0.00506487836094452,0.0232952837343355,0.00775257420617669,0.00183413437056349,0.00848957245362169,0.00150967794933626,0.0117070882620101,0.00206899473346117,0.00533610703068976,0.00457080622887135,0.00922847226193661,0.0142003124819459,0.0018688171417073,0.0174402074804934,0.0100109942989839,0.00095387124033919,0.0113665489314097,0.0205122300871533,0.0214289523529128,0.00526756875898194,0.00409451975369429,0.0246405625199941,0.00304333885867793,0.016502684404565,0.0144872786099276,0.00366481394466605,0.0186201811926454,0.03140180094733,0.00337108497608065,0.00540112343951456,0.0217424587514411,0.00286387471027844,0.00127852806746992,0.0170019191317451,0.000961123370439015,0.00156892088539305,0.00106420699267197,0.00107900096234771,0.00101723743248753,0.00209446390319164,0.00139545011444466,0.00343595024093578,0.00720830096849935,0.00218726936314904,0.00385159289070179,0.00190168005437513,0.00167782736090239,0.00261746396915834,0.011695249855278,0.000981173476360662,0.000990080833375208,0.00177576487483709,0.00203929459286013,0.00120246167251931
"GSM416530",0.0141619240736213,0.0362834765051208,0.5,0.0256903379157073,0.00700195569988358,0.00183755357230094,0.00290800382095754,0.00611076740311836,0.00146292181683157,0.00351685470790777,0.0388610395692153,0.00544031741965269,0.00224600495774852,0.00472993499754193,0.00130043377806683,0.00570731594291787,0.00157695730691931,0.00571529209266808,0.00436977699667776,0.00910623575228001,0.010668879638199,0.0019997770755853,0.0161855039661343,0.0108720490234859,0.00109684276050303,0.0102496319972364,0.012378667599319,0.0149453731915421,0.00474062553135341,0.00362705444181854,0.0241273146312942,0.00306210937290823,0.00900016060718782,0.0173121867236251,0.00320561237510086,0.0149593452136968,0.0211378347990055,0.00308179655037333,0.0044539458755934,0.0290802581520917,0.00370726592697241,0.00142442310775342,0.0284856489113943,0.000959587291527679,0.00137807973625352,0.0010044216465945,0.00131737064158224,0.000957850758119737,0.0021264643749936,0.00168937457428885,0.00501202071334111,0.0150844194340227,0.00249837033973765,0.00605185037118408,0.00224120540583999,0.00197610772131718,0.00348427021460707,0.0163208624724167,0.00114218485179123,0.00119089375420189,0.00180866209268755,0.00282546627560194,0.00177679841167113
"GSM416531",0.017439749472358,0.0222135668910326,0.0256903379157073,0.5,0.00589427689353268,0.00229051923497949,0.00323285911399225,0.00907974433099453,0.00156067073165078,0.00428238112236394,0.0181602937602881,0.0074977014945128,0.00190782346410673,0.00473204130078213,0.00166976410491143,0.00423285325609719,0.00171481836768445,0.00974995408968049,0.00827107810615866,0.00896348546244109,0.011770328829467,0.00252789662051439,0.0286270448358049,0.0252341896616823,0.00114319781530309,0.0154089865985939,0.0144630621439125,0.0212954793747989,0.00769444902432414,0.00892863622428421,0.0263353970420143,0.00967398555927051,0.0137371928929965,0.0164345841676329,0.00486316190222289,0.0178412694850246,0.0238082593910694,0.00623051406986169,0.00749802791756734,0.0125540770605727,0.00305705084197404,0.00174839592729951,0.0129116578849687,0.00105196682603892,0.00140749171017265,0.00102259456227784,0.00104472961258643,0.00109820255958386,0.0018265784350446,0.00175838598757854,0.00335771279801225,0.00588553546734302,0.00299090811750652,0.00341184312461735,0.00234923720616445,0.0022987767794337,0.00435152644833851,0.010356383511298,0.00118860539686839,0.00115115792719765,0.00229325456955504,0.00192348273038762,0.0012412019433266
"GSM416532",0.00848558740214491,0.00681969873440863,0.00700195569988358,0.00589427689353268,0.5,0.018509162327638,0.0248507423192406,0.0179519979752674,0.00563457966727385,0.012524774469298,0.0147979271754909,0.0205810505217785,0.0157283054772023,0.0321747102949887,0.00867178278492938,0.0129364065174024,0.0148069826046383,0.00362325119763635,0.0041713240673844,0.00287557110735038,0.00401330442977624,0.0035936587746726,0.00494546397525394,0.003749226109773,0.00256913227285111,0.00443618259447024,0.0105072308343043,0.00766771787750171,0.00492021842357521,0.00618863685368487,0.0140975837405376,0.0174497661101096,0.0135536146460509,0.0109157622844476,0.0182414681271558,0.0106859664948853,0.0127584612433455,0.0175448995818574,0.0114293333565799,0.00334545056038712,0.00219883760030229,0.00585071278909421,0.00287847633544645,0.00461110113157854,0.0106242050947327,0.00455277393471882,0.00329064484412694,0.00493086723367152,0.00723256832615928,0.00416941863028034,0.00187231271862578,0.00223763129973251,0.00264805539674028,0.00168173194664309,0.00223663924768504,0.00263934238282242,0.00217960115362004,0.00214908908297783,0.0025686458094881,0.00285519152616983,0.00392377506952481,0.00247643390887624,0.00261867725780118
"GSM416533",0.00541250969239941,0.00202838237306424,0.00183755357230094,0.00229051923497949,0.018509162327638,0.5,0.0195898024337022,0.00786992147853293,0.0138495187664681,0.0121259316362377,0.00293791712654143,0.0108319783072429,0.0247681834013668,0.0131507876559255,0.0273990519679368,0.00873938908642309,0.0235964701177325,0.00288618393513592,0.00346036651860938,0.00232401929468433,0.00229011464245205,0.00793041801400572,0.00212004581274112,0.00249584356500334,0.00663060865966482,0.00247297071957563,0.00303974576228579,0.00284532172982055,0.00566908980679607,0.00504291394658863,0.00247830098020805,0.0251337619944353,0.00370875184902007,0.00492000450732171,0.0178977748754758,0.00333836302059529,0.00274456492884655,0.013822143820884,0.00686536136823774,0.0017463694414159,0.00279712319528306,0.00818401945918364,0.00170438349269005,0.0176804393028021,0.0190850216003116,0.0193329471552977,0.0100426138553006,0.017878840629248,0.0119801957064916,0.0118459964649161,0.00229439742326749,0.00198668264384324,0.00333533604945069,0.00216113633293012,0.00312552313383204,0.0043803739729455,0.00288376582486483,0.00166664021193517,0.00697185266866847,0.00840253195361788,0.00569563694551206,0.004297923111807,0.0071102298987762
"GSM416534",0.00378777027465678,0.0054644749523918,0.00290800382095754,0.00323285911399225,0.0248507423192406,0.0195898024337022,0.5,0.0128030612869084,0.0166100801380314,0.0192663185881623,0.00557254152418651,0.0140021255279728,0.0166349619181772,0.0265073865294058,0.0143080110230215,0.0199983166293129,0.0178932048799616,0.00349232443472249,0.00443298172036226,0.00261549527639184,0.00415191775908492,0.00390930533231099,0.00315880012147193,0.00266970352874551,0.00353891367865128,0.00325200914939835,0.0057313702963326,0.00963565775056035,0.00793549285268036,0.00811733187408756,0.00410255030467862,0.01156345107122,0.0105155184591776,0.00390455288481333,0.0115951579784873,0.00990796368306892,0.00587157119444148,0.0158570526573487,0.0182375501546598,0.00237608483497298,0.00276888911498533,0.00771721319408682,0.00200665207496495,0.00867902961083249,0.0187495603371233,0.0082471494573126,0.00545103740390567,0.00970851307468078,0.0118773578134554,0.00627851231537564,0.00209376406870261,0.00183422654386056,0.00319550971492854,0.00190612422058533,0.00295834191255089,0.00340429430362342,0.00244602554405318,0.00196933572621971,0.0035254584313976,0.00466184871924855,0.00652358686762485,0.00396897593297035,0.00398491264421684
"GSM416535",0.0111558417131692,0.00904883227211059,0.00611076740311836,0.00907974433099453,0.0179519979752674,0.00786992147853293,0.0128030612869084,0.5,0.00307283705825123,0.00811851787853535,0.00786325985485331,0.0570256602390738,0.00701352891450367,0.0302861282655875,0.00818500817122583,0.0103643633905833,0.0110769255046923,0.004130314193278,0.0044871041189361,0.00339677959751365,0.00535090195943227,0.00277774067328968,0.010234682105994,0.00644692884814548,0.00163724181728984,0.00980862362891348,0.0296970247145348,0.00915857627757343,0.00539662186486791,0.00609419610347877,0.0189221093923296,0.00728455452726813,0.025928430778236,0.00874679613769207,0.0149232455750575,0.0095070654449338,0.0199573629098903,0.00520420148163123,0.00814433133154624,0.00375006788643688,0.00186198347944488,0.00210278476384929,0.00301712806617146,0.00291396955860759,0.00391724471132731,0.00300407369858796,0.00204830943297927,0.00320598048344375,0.00585639000454932,0.00191311647211712,0.00163525879861287,0.00213008114227416,0.00188404623115422,0.00156810157912766,0.00163032397228192,0.00174080104855442,0.00186245494307361,0.00262732216068125,0.00160665701320315,0.00155809690729888,0.00230306027564656,0.00169372703291796,0.00151752332677979
"GSM416536",0.00222970404059034,0.00170565361410996,0.00146292181683157,0.00156067073165078,0.00563457966727385,0.0138495187664681,0.0166100801380314,0.00307283705825123,0.5,0.0144092485204019,0.00233984848780939,0.00328440169937996,0.0165379294056111,0.00632079100197114,0.0117107121893919,0.0154179264652271,0.0101382155806444,0.00325284719850941,0.00400785990506359,0.00336652358635348,0.00379643069545614,0.00561620712706539,0.00145942724753341,0.00228484585085565,0.00647428112967997,0.0018736073611834,0.00171495778484089,0.00266771244317142,0.00857886954257717,0.00847248543931318,0.00133225780713516,0.00732774889293079,0.00239267406715559,0.0019780568687862,0.00450162552806325,0.0029560232158098,0.00172093908503573,0.0119799493487076,0.00926286565992909,0.00301941534725907,0.00998540426639225,0.0127360778542417,0.00278427385337174,0.0150743340500084,0.0235309460404973,0.018018888758364,0.0202213743135038,0.0149649538371737,0.0216431865084637,0.00870732144144568,0.00665945292285194,0.00373496749969148,0.0078684926665971,0.00464255994328862,0.00828905857690271,0.00863412858312819,0.00641969123695332,0.00303516679749933,0.00671011501749567,0.0153211516009489,0.0212550112703903,0.021654269456607,0.0136745563283057
"GSM416537",0.0069849385422169,0.00506487836094452,0.00351685470790777,0.00428238112236394,0.012524774469298,0.0121259316362377,0.0192663185881623,0.00811851787853535,0.0144092485204019,0.5,0.00860695619361086,0.0101138293253518,0.0113324397083905,0.0119262337044065,0.0108838123712986,0.0217988103209965,0.00907844753413737,0.010162179684002,0.0178436600628664,0.00634469687693924,0.0101895208896101,0.00331907416768895,0.00437853144870042,0.00443025253950406,0.00267920626843061,0.00651894388832669,0.00475079426000556,0.011559733452034,0.0189183447206,0.0188230126456894,0.00420663472450309,0.00846790506006672,0.0116500836001943,0.00613418914649563,0.00754252592197902,0.0148990790654152,0.00627736533501952,0.0132712564887039,0.0182983283254551,0.00322714721676548,0.00672199462583919,0.00409413853129211,0.00280299458924905,0.00595544213044928,0.0128739162729353,0.00627100860621529,0.00514637764422835,0.00629190986763059,0.0124969370745084,0.00339356894000425,0.00336479795757056,0.00281685888311684,0.00694390016860761,0.00289258927006562,0.00622229436236811,0.00348850035966918,0.00378883517668856,0.00307714173844247,0.00269063366959394,0.00330200845636421,0.0106216960464513,0.00665017032192793,0.00319011987451469
"GSM416538",0.0149030456152351,0.0232952837343355,0.0388610395692153,0.0181602937602881,0.0147979271754909,0.00293791712654143,0.00557254152418651,0.00786325985485331,0.00233984848780939,0.00860695619361086,0.5,0.00787141274270568,0.00446576170189955,0.00856861324586062,0.00208401688610124,0.0134501353209125,0.00269101558571573,0.00940056912099842,0.00771202835407214,0.00654810332750683,0.0120557935585109,0.00212000743208657,0.0137608269516447,0.00794970357073187,0.00116047417011295,0.00984918811246733,0.0127504620613292,0.0130199971505085,0.00807235186967849,0.00473387027432314,0.0237056672910346,0.00369793435341832,0.0127399122206875,0.0191467513686845,0.00417699632673222,0.0174982662079676,0.0208558691827157,0.00396031425904484,0.0077132790470633,0.0168255092995205,0.00344421729440789,0.00162165294625914,0.0179014781480145,0.0014350169065483,0.002415531842461,0.00152168521518192,0.00156207140753177,0.00144709281485973,0.00460276172516891,0.00159108705153831,0.00368777050383179,0.0106121637199383,0.00249005397804282,0.00426730820109391,0.00225125193330881,0.00187130046290543,0.00289314272919816,0.0083247357270251,0.00119318421795491,0.00123752859310729,0.0021693053128325,0.00257083422807866,0.00161471081886397
